0000,CO,CO,1,28,1, 
0000,HG,HG,1,200.59,1, 
0000,HGIIGAS,HGIIGAS,1,200.59,1, 
0000,ISOP,ISOP,1,68.12,1, 
0000,NH3,NH3,1,17,1,CMAQ
0000,NH3,NH3,1,17,1,CAMX
0000,NO,NO,1,30,1, 
0000,NOX,NO,0.9,46,0.9, 
0000,NOX,NO2,0.1,46,0.1, 
0000,OVOC,NR,0.5,148,0.05, 
0000,OVOC,OLE,0.5,148,0.1, 
0000,OVOC,PAR,8.5,148,0.85, 
0000,PHGI,PHGI,1,1,1, 
0000,SO2,SO2,1,64,1,CMAQ
0000,SO2,SO2,1,64,1,CAMX
0000,SO4,SULF,1,96,1,CMAQ
0000,SO4,SULF,1,96,1,CAMX
0000,SOX,SO2,1,64,1,CMAQ
0000,SOX,SO2,1,64,1,CAMX
0000,TERP,ALD2,1.5,136.23,0.3, 
0000,TERP,OLE,0.5,136.23,0.1, 
0000,TERP,PAR,6,136.23,0.6, 
0000,TERP,TERPB,1,136.23,1, 
40000,HGSUM,HG,0.5,200.59,0.5, 
40000,HGSUM,HGIIGAS,0.3,200.59,0.3, 
40000,HGSUM,PHGI,0.2,1,0.2, 
40001,HGSUM,HG,0.97,200.59,0.97, 
40001,HGSUM,HGIIGAS,0.03,200.59,0.03, 
40001,HGSUM,PHGI,0,1,0, 
40002,HGSUM,HG,0.9,200.59,0.9, 
40002,HGSUM,HGIIGAS,0.1,200.59,0.1, 
40002,HGSUM,PHGI,0,1,0, 
40003,HGSUM,HG,0.8,200.59,0.8, 
40003,HGSUM,HGIIGAS,0.1,200.59,0.1, 
40003,HGSUM,PHGI,0.1,1,0.1, 
40004,HGSUM,HG,0.75,200.59,0.75, 
40004,HGSUM,HGIIGAS,0.13,200.59,0.13, 
40004,HGSUM,PHGI,0.12,1,0.12, 
40006,HGSUM,HG,0.22,200.59,0.22, 
40006,HGSUM,HGIIGAS,0.58,200.59,0.58, 
40006,HGSUM,PHGI,0.2,1,0.2, 
40007,HGSUM,HG,0.05,200.59,0.05, 
40007,HGSUM,HGIIGAS,0.75,200.59,0.75, 
40007,HGSUM,PHGI,0.2,1,0.2, 
40008,HGSUM,HG,0.58,200.59,0.58, 
40008,HGSUM,HGIIGAS,0.2,200.59,0.2, 
40008,HGSUM,PHGI,0.22,1,0.22, 
40009,HGSUM,HG,1,200.59,1, 
40009,HGSUM,HGIIGAS,0,200.59,0, 
40009,HGSUM,PHGI,0,1,0, 
40010,HGSUM,HG,0.6648,200.59,0.6648, 
40010,HGSUM,HGIIGAS,0.293,200.59,0.293, 
40010,HGSUM,PHGI,0.0422,1,0.0422, 
40011,HGSUM,HG,0.95,200.59,0.95, 
40011,HGSUM,HGIIGAS,0.05,200.59,0.05, 
40011,HGSUM,PHGI,0,1,0, 
75014,SO2,SO2,1,64,1, 
75014,SO2,SULF,0.028583,98,0.0285833, 
75014,SOX,SO2,1,64,1, 
75014,SOX,SULF,0.028583,98,0.0285833, 
87514,SO2,SO2,1,64,1, 
87514,SO2,SULF,0.0245,98,0.0245, 
87514,SOX,SO2,1,64,1, 
87514,SOX,SULF,0.0245,98,0.0245, 
95014,SO2,SO2,1,64,1, 
95014,SO2,SULF,0.022566,98,0.0225658, 
95014,SOX,SO2,1,64,1, 
95014,SOX,SULF,0.022566,98,0.0225658, 
99010,SO2,SO2,1,64,1, 
99010,SO2,SULF,0.015467,98,0.0154672, 
99010,SOX,SO2,1,64,1, 
99010,SOX,SULF,0.015467,98,0.0154672, 
99999,EC2_5,PEC,1,1,1,CMAQ
99999,EC2_5,PEC,1,1,1,CAMX
99999,OC2_5,POA,1,1,1,CMAQ
99999,OC2_5,POA,1,1,1,CAMX
99999,OTHER2_5,FCRS,1,1,1,CAMX
99999,OTHER2_5,PMFINE,1,1,1,CMAQ
99999,PMC,CPRM,1,1,1,CAMX
99999,PMC,PMC,1,1,1,CMAQ
99999,PMC_PRE,CPRM,1,1,1,CAMX
99999,PMC_PRE,PMC,1,1,1,CMAQ
99999,SO4_2_5,PSO4,1,1,1,CMAQ
99999,SO4_2_5,PSO4,1,1,1,CAMX
M300,NOX,NO,0.62,30,0.62, 
M300,NOX,NO2,0.05,46,0.05, 
M6Phd,GASPM25,PEC,0.8,1,0.8,CMAQ
M6Phd,GASPM25,PEC,0.8,1,0.8,CAMX
